,137,3672
373,104,135,3669
370,101,133,3675
372,102,135,3671
370,102,134,3673
372,101,134,3670
367,102,135,3675
371,100,133,3671
366,102,135,3672
369,102,132,3672
370,100,132,3673
369,99,132,3673
372,98,132,3672
371,93,133,3672
371,105,126,3667
371,101,132,3674
371,96,130,3673
371,100,130,3675
370,97,131,3673
373,99,131,3673
372,100,131,3673
373,98,131,3672
365,99,131,3674
373,98,131,3668
371,101,132,3673
372,97,129,3673
369,99,132,3675
368,97,132,3674
365,103,133,3673
367,97,130,3675
370,98,132,3673
367,101,132,3675
368,92,136,3672
368,100,132,3675
367,97,131,3674
368,99,132,3673
367,96,130,3673
366,94,130,3671
369,97,129,3673
373,97,130,3672
369,98,130,3674
371,96,126,3670
371,98,132,3673
368,94,125,3673
368,97,125,3673
366,97,130,3672
368,98,128,3673
364,98,130,3676
369,96,129,3673
367,94,130,3675
373,95,130,3671
373,97,129,3675
374,92,128,3674
376,99,128,3675
377,96,128,3672
378,94,129,3674
377,97,128,3675
379,96,128,3673
376,94,129,3673
375,92,128,3674
374,94,128,3678
373,92,126,3672
370,97,129,3675
368,91,126,3675
369,96,126,3674
366,95,125,3674
369,93,124,3673
364,96,128,3675
369,94,125,3671
367,96,128,3676
367,92,124,3673
367,98,128,3672
366,94,128,3672
370,96,126,3672
367,93,129,3674
370,94,128,3674
370,96,130,3675
369,99,123,3673
366,98,128,3674
366,98,128,3673
369,103,128,3674
368,104,128,3673
370,109,128,3673
367,109,126,3674
371,111,126,3672
365,110,128,3686
370,112,128,3672
370,112,128,3673
370,112,125,3670
370,108,128,3675
368,106,128,3669
366,109,130,3674
366,107,131,3675
369,107,133,3673
366,107,132,3674
368,107,133,3673
365,108,128,3676
365,104,128,3674
367,106,134,3674
363,104,131,3673
364,108,134,3673
362,105,134,3674
365,106,136,3673
363,104,129,3675
368,103,134,3672
365,106,130,3675
365,101,129,3671
366,104,133,3674
369,102,132,3671
368,105597
381,130,238,1586
376,136,237,1558
372,133,238,1525
381,132,232,1491
385,145,234,1465
396,128,218,1443
399,135,227,1419
400,129,228,1390
402,135,227,1369
406,133,220,1352
405,135,221,1346
408,136,221,1318
418,124,222,1292
368,134,216,1282
412,149,202,1252
413,139,217,1238
411,148,211,1216
416,139,213,1204
410,135,208,1188
409,150,212,1172
408,135,205,1156
406,136,205,1130
428,136,203,1116
403,139,221,1103
404,146,206,1098
407,138,202,1080
407,144,211,1066
404,140,217,1042
404,142,222,1026
411,142,222,1017
402,137,223,1010
410,135,218,995
400,134,215,976
390,142,215,1351
388,138,213,2806
391,139,211,2918
389,139,211,3077
384,150,212,3207
396,142,208,3292
389,138,208,3362
384,154,198,3413
389,142,206,3432
386,144,204,3423
381,140,210,3412
385,145,204,3412
382,145,200,3412
387,146,198,3403
384,144,200,3355
394,144,196,3313
381,144,196,3255
388,143,188,3191
384,141,194,3133
389,92,190,3080
392,144,192,3055
394,143,186,3022
398,151,194,2984
398,146,195,2931
413,147,187,2870
398,164,194,2804
389,146,197,2740
399,146,192,2678
409,143,198,2624
402,141,197,2600
400,155,206,2557
385,156,204,2499
399,152,200,2440
399,149,200,2394
397,150,198,2337
398,149,193,2285
400,148,198,2244
401,140,199,2219
406,146,194,2182
397,144,202,2132
400,146,198,2104
400,146,194,2070
392,149,193,2034
403,149,217,1986
