6,421,1354
3648,283,418,1361
3653,279,421,1365
3647,278,413,1339
3633,274,414,1311
3611,277,420,1290
3555,281,476,1269
3672,279,424,1309
3625,270,416,1292
3589,269,416,1290
3544,254,399,1291
3506,273,413,1270
3462,278,418,1253
3514,284,422,1234
3474,291,421,1213
3446,290,425,1215
3512,291,426,1217
3479,284,423,1203
3437,281,422,1220
3397,275,412,1213
3351,275,412,1197
3297,270,403,1177
3445,276,406,1155
3622,292,403,1138
3676,312,302,1169
3676,292,400,1172
3679,286,396,1156
3677,289,395,1160
3677,290,389,1161
3669,302,400,1143
3677,303,394,1125
3673,307,400,1112
3716,323,401,1115
3675,311,401,1149
3676,301,399,1151
3676,301,396,1139
3671,297,397,1124
3624,294,387,1116
3564,291,390,1101
3498,283,380,1082
3430,291,389,1059
3365,297,395,1068
3305,294,395,1080
3234,289,396,1072
3164,282,385,1077
3088,280,391,1085
3139,287,395,1073
3247,300,411,1077
3308,306,411,1069
3291,318,428,1427
3269,318,420,1640
3420,316,416,1817
3414,312,413,1884
3421,308,404,1902
3421,304,405,1902
3412,300,397,1919
3381,293,343,1946
3358,295,386,1948
3319,299,396,1929
3276,297,403,1953
3324,292,408,1982
3401,288,418,1945
3506,289,411,1897
3574,286,413,1867
3579,291,419,1849
3644,311,432,1864
3664,315,437,1849
3671,322,443,1829
3671,315,437,1841
3674,296,425,1810
3672,311,427,1809
3671,304,432,1793
3672,302,422,1777
3673,296,412,1732
3674,296,393,1704
3676,293,410,1672
3673,306,429,1649
36719,335,470,2475
3673,328,460,2464
3677,328,454,2443
3670,326,448,2410
3673,329,442,2332
3672,324,440,2304
3673,337,445,2238
3675,344,453,2230
3672,351,445,2645
3670,335,438,2607
3670,336,435,2574
3677,327,436,2538
3673,337,455,2509
3674,339,447,2511
3673,338,480,2480
3674,315,487,2468
3683,341,483,2481
3672,332,479,2449
3673,334,468,2397
3672,338,473,2364
3677,329,457,2328
3672,332,447,2281
3675,330,451,2230
3680,341,452,2181
3673,358,448,2306
3675,356,443,2476
3695,352,443,2505
3671,351,435,2471
3675,349,431,2430
3677,345,430,2384
3634,350,452,2390
3674,356,458,2366
3673,356,478,2343
3674,361,474,2346
3673,382,398,2351
3675,353,457,2311
3676,349,458,2271
3675,345,453,2241
3676,334,452,2189
3674,338,446,2128
3675,338,441,2083
3675,353,446,2029
3671,366,445,2418
3718,362,440,2433
3674,357,441,2424
3679,354,435,2386
3674,350,434,2342
3673,351,439,2649
3673,359,445,2864
3673,352,450,2957
3673,362,465,3029
3668,355,459,3320
3671,354,459,3402
3666,352,450,3441
3670,351,447,3431
3746,350,444,3409
3670,340,442,3383
3669,338,440,3365
3667,339,450,3327
3674,359,465,3314
3669,362,474,3346
3669,377,471,3665
3666,355,463,3671
3669,330,472,3650
3665,349,477,3599
3668,337,497,3596
3665,357,501,3607
3668,359,512,3550
3670,359,513,3645
3667,353,503,3639
3671,352,498,3622
3664,346,492,3531
3669,349,486,3438
3669,343,481,3357
3670,333,474,3297
3667,338,470,3244
3665,343,471,3173
3669,355,478,3152
3696,354,468,3217
3670,349,466,3168
3668,341,459,3096
3669,338,460,3021
3674,341,465,2968
3672,348,483,2964
3667,350,491,2930
3667,353,497,2879
3671,353,500,2946
3655,351,486,3186
3668,352,486,3133
3677,341,476,3066
3671,341,473,2989
3670,338,465,2927
3662,347,461,2880
3666,340,464,2832
3667,369,479,2793
3696,364,485,2836
3668,352,478,2858
3688,352,472,2808
3669,348,473,2751
3675,345,479,2687
3671,359,488,2642
3668,353,493,2601
3674,362,499,2566
3674,355,518,2540
3669,359,503,2550
3671,350,497,2519
3668,350,495,2491
3674,347,486,2457
3674,343,479,2427
3669,339,476,2386
3675,335,471,2330
3670,348,445,2285
3675,357,479,2235
3673,358,481,2252
3673,354,467,2195
3673,351,467,2164
3682,345,459,2130
3679,342,457,2114
3674,350,470,2066
3679,343,473,2012
3670,351,480,2397
3673,347,475,2390
3675,355,477,2455
3693,342,466,2438
3673,346,464,2379
3674,340,462,2330
3665,356,448,2278
3672,340,449,2263
3671,341,442,2218
3674,360,447,2580
3673,369,447,2594
3669,372,444,2666
3669,339,438,2642
3672,366,434,2610
3671,353,434,2579
3675,370,449,2571
3671,362,460,2578
3660,362,468,2563
3673,365,476,2537
3673,363,472,2887
3670,366,469,2882
3668,357,455,2862
3670,340,457,2809
3670,350,451,2752
3679,353,447,2708
3668,351,443,2653
3672,355,445,2808
