ch1,ch2,ch3,label
416,144,86,0
414,140,89,0
419,140,92,0
420,145,91,0
418,143,91,0
416,142,88,0
416,144,87,0
415,140,85,0
415,143,88,0
414,140,88,0
416,142,90,0
413,145,88,0
414,143,85,0
412,141,90,0
411,138,85,0
416,145,87,0
411,138,88,0
413,141,86,0
412,141,85,0
408,144,86,0
408,144,90,0
410,141,92,0
410,142,86,0
411,142,91,0
410,142,88,0
408,141,87,0
409,141,88,0
407,141,89,0
406,139,92,0
406,142,91,0
406,141,91,0
406,141,88,0
404,137,87,0
403,140,87,0
404,139,89,0
403,141,89,0
402,140,90,0
403,142,90,0
400,142,89,0
397,141,89,0
401,134,91,0
402,140,89,0
401,142,93,0
399,144,90,0
398,141,92,0
396,140,93,0
395,139,97,0
396,139,94,0
396,139,94,0
395,140,94,0
396,142,92,0
394,141,91,0
395,140,94,0
392,141,93,0
391,142,99,0
391,138,96,0
391,143,101,0
390,142,94,0
389,139,94,0
384,146,95,0
386,144,96,0
386,141,98,0
384,143,98,0
388,143,94,0
384,143,97,0
383,145,99,0
381,140,97,0
380,141,99,0
377,144,100,0
377,140,98,0
377,140,100,0
378,142,99,0
374,141,104,0
379,143,101,0
374,141,101,0
376,144,99,0
374,142,98,0
377,144,100,0
378,142,96,0
378,144,100,0
380,144,97,0
378,137,99,0
377,141,100,0
380,143,95,0
377,142,97,0
381,141,100,0
379,140,96,0
384,143,99,0
384,142,99,0
385,142,99,0
385,138,102,0
386,139,98,0
385,141,97,0
386,141,100,0
388,146,103,0
393,144,102,0
388,142,97,0
390,143,102,0
387,144,100,0
393,143,101,0
392,146,102,0
393,145,100,0
396,144,104,0
394,148,102,0
396,143,104,0
397,146,103,0
396,146,103,0
398,147,104,0
410,145,106,0
401,146,105,0
403,149,105,0
403,147,103,0
402,150,105,0
406,147,104,0
407,152,105,0
411,149,105,0
411,148,105,0
411,150,104,0
409,149,104,0
411,144,104,0
412,146,103,0
412,149,105,0
413,151,105,0
414,150,106,0
416,147,104,0
416,148,107,0
412,150,105,0
418,150,107,0
421,150,106,0
419,148,105,0
417,148,103,0
418,148,104,0
420,148,108,0
421,148,113,0
422,152,112,0
422,150,111,0
426,152,110,0
425,146,108,0
423,150,112,0
423,151,113,0
426,155,112,0
427,153,113,0
433,151,115,0
432,152,112,0
430,152,110,0
428,150,115,0
434,151,117,0
431,152,114,0
433,155,117,0
431,147,115,0
433,154,115,0
432,149,114,0
432,149,118,0
435,150,116,0
435,150,119,0
438,152,118,0
435,150,117,0
436,147,117,0
436,150,115,0
437,148,116,0
435,149,117,0
437,150,120,0
438,146,116,0
438,146,115,0
437,148,113,0
440,146,116,0
437,148,117,0
439,149,117,0
441,145,115,0
438,147,114,0
439,148,113,0
439,149,114,0
438,148,113,0
444,148,113,0
444,149,113,0
443,150,113,0
441,150,112,0
443,147,108,0
447,147,110,0
444,147,110,0
443,150,113,0
445,150,115,0
444,146,108,0
445,150,110,0
443,148,109,0
443,148,105,0
442,148,109,0
443,151,108,0
445,153,106,0
442,151,106,0
441,147,108,0
441,153,106,0
443,155,105,0
446,153,105,0
444,154,106,0
444,156,106,0
446,155,105,0
444,152,104,0
444,152,109,0
445,151,108,0
